C:\Users\hxri\miniconda3\envs\cogppo\Lib\site-packages\gym\utils\passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
t:  16%|███████████████                                                                              | 42/259 [00:00<00:00, 416.07it/s, now=None]
global_step=272, episodic_return=0.760937511920929
SPS:  114
Moviepy - Building video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-8x8-v0__playground__1__1682934545\rl-video-episode-0.mp4.

Moviepy - Done !
Moviepy - video ready D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-8x8-v0__playground__1__1682934545\rl-video-episode-0.mp4
global_step=116456, episodic_return=0.0
global_step=116548, episodic_return=0.0
SPS:  322
global_step=117076, episodic_return=0.0
SPS:  322
global_step=117444, episodic_return=0.0
global_step=117480, episodic_return=0.0
global_step=117572, episodic_return=0.0
SPS:  322
global_step=118100, episodic_return=0.0
SPS:  322
global_step=118468, episodic_return=0.0
global_step=118504, episodic_return=0.0
global_step=118596, episodic_return=0.0
SPS:  322
global_step=119124, episodic_return=0.0
SPS:  322
global_step=119492, episodic_return=0.0
global_step=119528, episodic_return=0.0
global_step=119620, episodic_return=0.0
SPS:  322
global_step=120148, episodic_return=0.0
SPS:  322
global_step=120516, episodic_return=0.0
global_step=120552, episodic_return=0.0
global_step=120644, episodic_return=0.0
SPS:  322
global_step=121172, episodic_return=0.0
SPS:  322
global_step=121540, episodic_return=0.0
global_step=121576, episodic_return=0.0
global_step=121668, episodic_return=0.0
SPS:  322
global_step=122196, episodic_return=0.0
SPS:  322
global_step=122564, episodic_return=0.0
global_step=122600, episodic_return=0.0
global_step=122692, episodic_return=0.0
SPS:  322
global_step=123220, episodic_return=0.0
SPS:  322
global_step=123588, episodic_return=0.0
global_step=123624, episodic_return=0.0
global_step=123716, episodic_return=0.0
SPS:  322
global_step=124244, episodic_return=0.0
SPS:  322
global_step=124612, episodic_return=0.0
